2398
2398   ********    1 : [1.0, 0.0]
2398   ********    2 : [0, 0]
2398   ********    3 : [0.5, 0.5]
2398   ********    4 : [0, 0]
2398   ********    5 : [0, 0]
2398   ********    6 : [0.6, 0.4]
2398   ********    7 : [1.0, 0.0]
2398   ********    8 : [0, 0]
2398   ********    9 : [0.7777777777777778, 0.2222222222222222]
2398   ********    10 : [1.0, 0.0]
2398   ********    11 : [1.0, 0.0]
2398   ********    12 : [0, 0]
2398   ********    13 : [0.7272727272727273, 0.2727272727272727]
2398   ********    14 : [1.0, 0.0]
2398   ********    15 : [0, 0]
2398   ********    16 : [0, 0]
2398   ********    17 : [0, 0]
2398   ********    18 : [0.6666666666666666, 0.3333333333333333]
2398   ********    19 : [0.9333333333333333, 0.06666666666666667]
2398   ********    20 : [0, 0]
2398   ********    21 : [0, 0]
2398   ********    22 : [1.0, 0.0]
2398   ********    23 : [0.8333333333333334, 0.16666666666666666]
2398   ********    24 : [0, 0]
2398   ********    25 : [1.0, 0.0]
2398   ********    26 : [0.75, 0.25]
2398   ********    27 : [0, 0]
2398   ********    28 : [1.0, 0.0]
2398   ********    29 : [0.8333333333333334, 0.16666666666666666]
2398   ********    30 : [0, 0]
2398   ********    31 : [0, 0]
2398   ********    32 : [0.5, 0.5]
2398   ********    33 : [0, 0]
2398   ********    34 : [1.0, 0.0]
2398   ********    35 : [1.0, 0.0]
2398   ********    36 : [0.6, 0.4]
2398   ********    37 : [1.0, 0.0]
2398   ********    38 : [0.5, 0.5]
2398   ********    39 : [0.3333333333333333, 0.6666666666666666]
2398   ********    40 : [1.0, 0.0]
2398   ********    41 : [0.0, 1.0]
2398   ********    42 : [0, 0]
2398   ********    43 : [0, 0]
2398   ********    44 : [0.8, 0.2]
2398   ********    45 : [0, 0]
2398   ********    46 : [0, 0]
2398   ********    47 : [0, 0]
2398   ********    48 : [0.6666666666666666, 0.3333333333333333]
2398   ********    49 : [1.0, 0.0]
2398   ********    50 : [0, 0]
2398   ********    51 : [1.0, 0.0]
2398   ********    52 : [1.0, 0.0]
2398   ********    53 : [0, 0]
2398   ********    54 : [1.0, 0.0]
2398   ********    55 : [0.6956521739130435, 0.30434782608695654]
2398   ********    56 : [0.5, 0.5]
2398   ********    57 : [0.5, 0.5]
2398   ********    58 : [0.8461538461538461, 0.15384615384615385]
2398   ********    59 : [1.0, 0.0]
2398   ********    60 : [0, 0]
2398   ********    61 : [1.0, 0.0]
2398   ********    62 : [1.0, 0.0]
2398   ********    63 : [0.75, 0.25]
2398   ********    64 : [0, 0]
2398   ********    65 : [1.0, 0.0]
2398   ********    66 : [0, 0]
2398   ********    67 : [0.5, 0.5]
2398   ********    68 : [0, 0]
2398   ********    69 : [1.0, 0.0]
2398   ********    70 : [0, 0]
2398   ********    71 : [0.8, 0.2]
2398   ********    72 : [1.0, 0.0]
2398   ********    73 : [1.0, 0.0]
2398   ********    74 : [1.0, 0.0]
2398   ********    75 : [0.0, 1.0]
2398   ********    76 : [1.0, 0.0]
2398   ********    77 : [0, 0]
2398   ********    78 : [0, 0]
2398   ********    79 : [0, 0]
2398   ********    80 : [0, 0]
2398   ********    81 : [1.0, 0.0]
2398   ********    82 : [1.0, 0.0]
2398   ********    83 : [0, 0]
2398   ********    84 : [0, 0]
2398   ********    85 : [0, 0]
2398   ********    86 : [0.6666666666666666, 0.3333333333333333]
2398   ********    87 : [0, 0]
2398   ********    88 : [1.0, 0.0]
2398   ********    89 : [0.75, 0.25]
2398   ********    90 : [0, 0]
2398   ********    91 : [1.0, 0.0]
2398   ********    92 : [0, 0]
2398   ********    93 : [1.0, 0.0]
2398   ********    94 : [0, 0]
2398   ********    95 : [1.0, 0.0]
2398   ********    96 : [0.5, 0.5]
2398   ********    97 : [0, 0]
2398   ********    98 : [0.75, 0.25]
2398   ********    99 : [1.0, 0.0]
2398   ********    100 : [0, 0]
2398   ********    101 : [0.875, 0.125]
2398   ********    102 : [0, 0]
2398   ********    103 : [0, 0]
2398   ********    104 : [0, 0]
2398   ********    105 : [0, 0]
2398   ********    106 : [0, 0]
2398   ********    107 : [1.0, 0.0]
2398   ********    108 : [0.8, 0.2]
2398   ********    109 : [0.8, 0.2]
2398   ********    110 : [0.0, 1.0]
2398   ********    111 : [1.0, 0.0]
2398   ********    112 : [1.0, 0.0]
2398   ********    113 : [0, 0]
2398   ********    114 : [0, 0]
2398   ********    115 : [0, 0]
2398   ********    116 : [0.5714285714285714, 0.42857142857142855]
2398   ********    117 : [0, 0]
2398   ********    118 : [0.6666666666666666, 0.3333333333333333]
2398   ********    119 : [0.0, 1.0]
2398   ********    120 : [0, 0]
2398   ********    121 : [0, 0]
2398   ********    122 : [1.0, 0.0]
2398   ********    123 : [0, 0]
2398   ********    124 : [0, 0]
2398   ********    125 : [1.0, 0.0]
2398   ********    126 : [0, 0]
2398   ********    127 : [0.6666666666666666, 0.3333333333333333]
2398   ********    128 : [0, 0]
2398   ********    129 : [0.6, 0.4]
2398   ********    130 : [0, 0]
2398   ********    131 : [0.0, 1.0]
2398   ********    132 : [1.0, 0.0]
2398   ********    133 : [1.0, 0.0]
2398   ********    134 : [0.3333333333333333, 0.6666666666666666]
2398   ********    135 : [0.3333333333333333, 0.6666666666666666]
2398   ********    136 : [1.0, 0.0]
2398   ********    137 : [0, 0]
2398   ********    138 : [0.6666666666666666, 0.3333333333333333]
2398   ********    139 : [0, 0]
2398   ********    140 : [0.0, 1.0]
2398   ********    141 : [1.0, 0.0]
2398   ********    142 : [1.0, 0.0]
2398   ********    143 : [0, 0]
2398   ********    144 : [1.0, 0.0]
2398   ********    145 : [1.0, 0.0]
2398   ********    146 : [0, 0]
2398   ********    147 : [0.8235294117647058, 0.17647058823529413]
2398   ********    148 : [1.0, 0.0]
2398   ********    149 : [1.0, 0.0]
2398   ********    150 : [1.0, 0.0]
2398   ********    151 : [1.0, 0.0]
2398   ********    152 : [1.0, 0.0]
2398   ********    153 : [0.5, 0.5]
2398   ********    154 : [0, 0]
2398   ********    155 : [0, 0]
2398   ********    156 : [0.95, 0.05]
2398   ********    157 : [0.5714285714285714, 0.42857142857142855]
2398   ********    158 : [1.0, 0.0]
2398   ********    159 : [0.0, 1.0]
2398   ********    160 : [0, 0]
2398   ********    161 : [0.6666666666666666, 0.3333333333333333]
2398   ********    162 : [0, 0]
2398   ********    163 : [0, 0]
2398   ********    164 : [1.0, 0.0]
2398   ********    165 : [0, 0]
2398   ********    166 : [0.6666666666666666, 0.3333333333333333]
2398   ********    167 : [0, 0]
2398   ********    168 : [1.0, 0.0]
2398   ********    169 : [0, 0]
2398   ********    170 : [0, 0]
2398   ********    171 : [0.0, 1.0]
2398   ********    172 : [0, 0]
2398   ********    173 : [1.0, 0.0]
2398   ********    174 : [0, 0]
2398   ********    175 : [0.0, 1.0]
2398   ********    176 : [0, 0]
2398   ********    177 : [1.0, 0.0]
2398   ********    178 : [0.75, 0.25]
2398   ********    179 : [0.75, 0.25]
2398   ********    180 : [0.9444444444444444, 0.05555555555555555]
2398   ********    181 : [0, 0]
2398   ********    182 : [1.0, 0.0]
2398   ********    183 : [1.0, 0.0]
2398   ********    184 : [0, 0]
2398   ********    185 : [1.0, 0.0]
2398   ********    186 : [1.0, 0.0]
2398   ********    187 : [0, 0]
2398   ********    188 : [0, 0]
2398   ********    189 : [0, 0]
2398   ********    190 : [1.0, 0.0]
2398   ********    191 : [0.75, 0.25]
2398   ********    192 : [1.0, 0.0]
2398   ********    193 : [1.0, 0.0]
2398   ********    194 : [1.0, 0.0]
2398   ********    195 : [1.0, 0.0]
2398   ********    196 : [0.6666666666666666, 0.3333333333333333]
2398   ********    197 : [0, 0]
2398   ********    198 : [1.0, 0.0]
2398   ********    199 : [0.8235294117647058, 0.17647058823529413]
2398   ********    200 : [0, 0]
2398   ********    201 : [0, 0]
2398   ********    202 : [1.0, 0.0]
2398   ********    203 : [1.0, 0.0]
2398   ********    204 : [1.0, 0.0]
2398   ********    205 : [0, 0]
2398   ********    206 : [1.0, 0.0]
2398   ********    207 : [1.0, 0.0]
2398   ********    208 : [0, 0]
2398   ********    209 : [1.0, 0.0]
2398   ********    210 : [0, 0]
2398   ********    211 : [0, 0]
2398   ********    212 : [0, 0]
2398   ********    213 : [0, 0]
2398   ********    214 : [0, 0]
2398   ********    215 : [0.8, 0.2]
2398   ********    216 : [0, 0]
2398   ********    217 : [1.0, 0.0]
2398   ********    218 : [1.0, 0.0]
2398   ********    219 : [0, 0]
2398   ********    220 : [0.0, 1.0]
2398   ********    221 : [0, 0]
2398   ********    222 : [1.0, 0.0]
2398   ********    223 : [1.0, 0.0]
2398   ********    224 : [0.5555555555555556, 0.4444444444444444]
2398   ********    225 : [0, 0]
2398   ********    226 : [1.0, 0.0]
2398   ********    227 : [0.0, 1.0]
2398   ********    228 : [0.8, 0.2]
2398   ********    229 : [0.8888888888888888, 0.1111111111111111]
2398   ********    230 : [0, 0]
2398   ********    231 : [0, 0]
2398   ********    232 : [1.0, 0.0]
2398   ********    233 : [1.0, 0.0]
2398   ********    234 : [1.0, 0.0]
2398   ********    235 : [0.6666666666666666, 0.3333333333333333]
2398   ********    236 : [1.0, 0.0]
2398   ********    237 : [0, 0]
2398   ********    238 : [0.5, 0.5]
2398   ********    239 : [0.9090909090909091, 0.09090909090909091]
2398   ********    240 : [0, 0]
2398   ********    241 : [0.8, 0.2]
2398   ********    242 : [0, 0]
2398   ********    243 : [1.0, 0.0]
2398   ********    244 : [0, 0]
2398   ********    245 : [0, 0]
2398   ********    246 : [1.0, 0.0]
2398   ********    247 : [1.0, 0.0]
2398   ********    248 : [1.0, 0.0]
2398   ********    249 : [1.0, 0.0]
2398   ********    250 : [0.6666666666666666, 0.3333333333333333]
2398   ********    251 : [0, 0]
2398   ********    252 : [1.0, 0.0]
2398   ********    253 : [0.75, 0.25]
2398   ********    254 : [0.0, 1.0]
2398   ********    255 : [1.0, 0.0]
2398   ********    256 : [0, 0]
2398   ********    257 : [0.5, 0.5]
2398   ********    258 : [0.42857142857142855, 0.5714285714285714]
2398   ********    259 : [0.6666666666666666, 0.3333333333333333]
2398   ********    260 : [1.0, 0.0]
2398   ********    261 : [0.8181818181818182, 0.18181818181818182]
2398   ********    262 : [1.0, 0.0]
2398   ********    263 : [0.25, 0.75]
2398   ********    264 : [0, 0]
2398   ********    265 : [0, 0]
2398   ********    266 : [0.8235294117647058, 0.17647058823529413]
2398   ********    267 : [0.0, 1.0]
2398   ********    268 : [1.0, 0.0]
2398   ********    269 : [1.0, 0.0]
2398   ********    270 : [0, 0]
2398   ********    271 : [0, 0]
2398   ********    272 : [0.5, 0.5]
2398   ********    273 : [0, 0]
2398   ********    274 : [1.0, 0.0]
2398   ********    275 : [1.0, 0.0]
2398   ********    276 : [1.0, 0.0]
2398   ********    277 : [0.75, 0.25]
2398   ********    278 : [1.0, 0.0]
2398   ********    279 : [0, 0]
2398   ********    280 : [0, 0]
2398   ********    281 : [0, 0]
2398   ********    282 : [0.75, 0.25]
2398   ********    283 : [1.0, 0.0]
2398   ********    284 : [1.0, 0.0]
2398   ********    285 : [0.7428571428571429, 0.2571428571428571]
2398   ********    286 : [0, 0]
2398   ********    287 : [0.8888888888888888, 0.1111111111111111]
2398   ********    288 : [0.0, 1.0]
2398   ********    289 : [0, 0]
2398   ********    290 : [0, 0]
2398   ********    291 : [0, 0]
2398   ********    292 : [0.8888888888888888, 0.1111111111111111]
2398   ********    293 : [0.8571428571428571, 0.14285714285714285]
2398   ********    294 : [1.0, 0.0]
2398   ********    295 : [0, 0]
2398   ********    296 : [0.5, 0.5]
2398   ********    297 : [0, 0]
2398   ********    298 : [0.6666666666666666, 0.3333333333333333]
2398   ********    299 : [0, 0]
2398   ********    300 : [1.0, 0.0]
2398   ********    301 : [0, 0]
2398   ********    302 : [0.5714285714285714, 0.42857142857142855]
2398   ********    303 : [1.0, 0.0]
2398   ********    304 : [0, 0]
2398   ********    305 : [0, 0]
2398   ********    306 : [0, 0]
2398   ********    307 : [1.0, 0.0]
2398   ********    308 : [0.0, 1.0]
2398   ********    309 : [0.7, 0.3]
2398   ********    310 : [1.0, 0.0]
2398   ********    311 : [1.0, 0.0]
2398   ********    312 : [0, 0]
2398   ********    313 : [0, 0]
2398   ********    314 : [0, 0]
2398   ********    315 : [0, 0]
2398   ********    316 : [1.0, 0.0]
2398   ********    317 : [0.5, 0.5]
2398   ********    318 : [0, 0]
2398   ********    319 : [0.75, 0.25]
2398   ********    320 : [1.0, 0.0]
2398   ********    321 : [1.0, 0.0]
2398   ********    322 : [0.3333333333333333, 0.6666666666666666]
2398   ********    323 : [0.75, 0.25]
2398   ********    324 : [1.0, 0.0]
2398   ********    325 : [0, 0]
2398   ********    326 : [0, 0]
2398   ********    327 : [1.0, 0.0]
2398   ********    328 : [0.0, 1.0]
2398   ********    329 : [1.0, 0.0]
2398   ********    330 : [1.0, 0.0]
2398   ********    331 : [0, 0]
2398   ********    332 : [0, 0]
2398   ********    333 : [0, 0]
2398   ********    334 : [0, 0]
2398   ********    335 : [0.8, 0.2]
2398   ********    336 : [1.0, 0.0]
2398   ********    337 : [0, 0]
2398   ********    338 : [0, 0]
2398   ********    339 : [0.6666666666666666, 0.3333333333333333]
2398   ********    340 : [0.5714285714285714, 0.42857142857142855]
2398   ********    341 : [1.0, 0.0]
2398   ********    342 : [1.0, 0.0]
2398   ********    343 : [0.6666666666666666, 0.3333333333333333]
2398   ********    344 : [0.5, 0.5]
2398   ********    345 : [0, 0]
2398   ********    346 : [1.0, 0.0]
2398   ********    347 : [0, 0]
2398   ********    348 : [0, 0]
2398   ********    349 : [1.0, 0.0]
2398   ********    350 : [1.0, 0.0]
2398   ********    351 : [1.0, 0.0]
2398   ********    352 : [0.5, 0.5]
2398   ********    353 : [1.0, 0.0]
2398   ********    354 : [0.6666666666666666, 0.3333333333333333]
2398   ********    355 : [0, 0]
2398   ********    356 : [0, 0]
2398   ********    357 : [0.0, 1.0]
2398   ********    358 : [0, 0]
2398   ********    359 : [0, 0]
2398   ********    360 : [0.5, 0.5]
2398   ********    361 : [0, 0]
2398   ********    362 : [0, 0]
2398   ********    363 : [0.6666666666666666, 0.3333333333333333]
2398   ********    364 : [1.0, 0.0]
2398   ********    365 : [0.0, 1.0]
2398   ********    366 : [0, 0]
2398   ********    367 : [0.8, 0.2]
2398   ********    368 : [0.0, 1.0]
2398   ********    369 : [1.0, 0.0]
2398   ********    370 : [0.0, 1.0]
2398   ********    371 : [0, 0]
2398   ********    372 : [1.0, 0.0]
2398   ********    373 : [0, 0]
2398   ********    374 : [1.0, 0.0]
2398   ********    375 : [1.0, 0.0]
2398   ********    376 : [1.0, 0.0]
2398   ********    377 : [1.0, 0.0]
2398   ********    378 : [1.0, 0.0]
2398   ********    379 : [1.0, 0.0]
2398   ********    380 : [0.75, 0.25]
2398   ********    381 : [0, 0]
2398   ********    382 : [0, 0]
2398   ********    383 : [0.3333333333333333, 0.6666666666666666]
2398   ********    384 : [1.0, 0.0]
2398   ********    385 : [1.0, 0.0]
2398   ********    386 : [1.0, 0.0]
2398   ********    387 : [0, 0]
2398   ********    388 : [0, 0]
2398   ********    389 : [0, 0]
2398   ********    390 : [0, 0]
2398   ********    391 : [1.0, 0.0]
2398   ********    392 : [0, 0]
2398   ********    393 : [0, 0]
2398   ********    394 : [1.0, 0.0]
2398   ********    395 : [1.0, 0.0]
2398   ********    396 : [1.0, 0.0]
2398   ********    397 : [0, 0]
2398   ********    398 : [1.0, 0.0]
2398   ********    399 : [0, 0]
2398   ********    400 : [0, 0]
2398   ********    401 : [0, 0]
2398   ********    402 : [0.6666666666666666, 0.3333333333333333]
2398   ********    403 : [1.0, 0.0]
2398   ********    404 : [0.0, 1.0]
2398   ********    405 : [0.8, 0.2]
2398   ********    406 : [1.0, 0.0]
2398   ********    407 : [0.625, 0.375]
2398   ********    408 : [0, 0]
2398   ********    409 : [0.75, 0.25]
2398   ********    410 : [0, 0]
2398   ********    411 : [0.0, 1.0]
2398   ********    412 : [0.75, 0.25]
2398   ********    413 : [0, 0]
2398   ********    414 : [1.0, 0.0]
2398   ********    415 : [0.875, 0.125]
2398   ********    416 : [0.5, 0.5]
2398   ********    417 : [1.0, 0.0]
2398   ********    418 : [0, 0]
2398   ********    419 : [0, 0]
2398   ********    420 : [0.0, 1.0]
2398   ********    421 : [0, 0]
2398   ********    422 : [1.0, 0.0]
